id,director
19404,Aditya Chopra
278,Frank Darabont
238,Francis Ford Coppola
724089,Tosca Musk
761053,Tosca Musk
424,Steven Spielberg
696374,Tosca Musk
240,Francis Ford Coppola
283566,Hideaki Anno
255709,Lee Joon-ik
372058,Makoto Shinkai
129,Hayao Miyazaki
496243,Bong Joon-ho
632632,Hikaru Yamaguchi
389,Sidney Lumet
497,Frank Darabont
644479,Jorge Ulloa
441130,Tomm Moore
532067,Takaomi Kanasaki
680,Quentin Tarantino
155,Christopher Nolan
572154,Souichi Masui
122,Peter Jackson
13,Robert Zemeckis
429,Sergio Leone
40096,Guel Arraes
11216,Giuseppe Tornatore
346,Akira Kurosawa
637,Roberto Benigni
769,Martin Scorsese
592350,Kenji Nagasaki
311,Sergio Leone
556574,Thomas Kail
92321,Takahiro Omori
539,Alfred Hitchcock
378064,Naoko Yamada
510,Miloš Forman
550,David Fincher
12477,Isao Takahata
526702,Ashley Avis
630566,Justin Baldoni
598,Fernando Meirelles
14537,Masaki Kobayashi
618344,Matt Peters
18491,Hideaki Anno
324857,Rodney Rothman
4935,Hayao Miyazaki
640344,Gianluca Leuzzi
447362,Mitja Okorn
635302,Haruo Sotozaki
599,Billy Wilder
522924,Simon Curtis
537061,Rebecca Sugar
1891,Irvin Kershner
3782,Akira Kurosawa
244786,Damien Chazelle
423,Roman Polanski
73,Tony Kaye
791373,Zack Snyder
120,Peter Jackson
567,Alfred Hitchcock
476292,Mari Okada
12493,Akira Kurosawa
914,Charlie Chaplin
901,Charlie Chaplin
128,Hayao Miyazaki
527641,Justin Baldoni
157336,Christopher Nolan
25237,Elem Klimov
121,Peter Jackson
27205,Christopher Nolan
610892,Haruka Fujita
3082,Charlie Chaplin
807,David Fincher
274,Jonathan Demme
843906,Cecilia Aranovich
101,Luc Besson
207,Peter Weir
615457,Ilya Naishuller
335,Sergio Leone
18148,Yasujirō Ozu
663558,Zhao Ji
755812,Thomas Astruc
313106,Nick Hurran
42269,Ettore Scola
16672,Hiroshi Teshigahara
975,Stanley Kubrick
550776,Jim Donovan
664767,Ethan Spaulding
105,Robert Zemeckis
290098,Park Chan-wook
10376,Giuseppe Tornatore
265177,Xavier Dolan
620683,Susana Garcia
637920,Mehmet Ada Öztekin
28,Francis Ford Coppola
5156,Vittorio De Sica
508965,Sergio Pablos
504253,Shinichiro Ushijima
110420,Mamoru Hosoda
1398,Andrei Tarkovsky
299534,Anthony Russo
10494,Satoshi Kon
470044,"George Tillman, Jr."
797,Ingmar Bergman
776503,Siân Heder
26451,Elio Petri
670,Park Chan-wook
24188,Dino Risi
299536,Anthony Russo
678580,Raúl Martínez
77338,Éric Toledano
29259,Jacques Becker
20532,Kenji Mizoguchi
8587,Roger Allers
1585,Frank Capra
37257,Billy Wilder
517814,Nadine Labaki
490132,Peter Farrelly
398818,Luca Guadagnino
531428,Céline Sciamma
522402,Miguel Sapochnik
337404,Craig Gillespie
422,Federico Fellini
284,Billy Wilder
490,Ingmar Bergman
2457,Marcel Carné
10098,Charlie Chaplin
399106,Alan Barillaro
785534,Can Ulkay
158445,Lee Hwan-kyung
185,Stanley Kubrick
354912,Lee Unkrich
694,Stanley Kubrick
600354,Florian Zeller
28422,Sion Sono
426,Alfred Hitchcock
508442,Pete Docter
518068,Kim Yong-hwa
550205,Chris Appelhans
16869,Quentin Tarantino
629,Bryan Singer
895,Andrei Tarkovsky
652722,Matías Moltrasio
20914,Mario Monicelli
11,George Lucas
992,Buster Keaton
406997,Stephen Chbosky
705,Joseph L. Mankiewicz
11659,Marco Tullio Giordana
77,Christopher Nolan
1124,Christopher Nolan
11878,Akira Kurosawa
19,Fritz Lang
606856,Ericson Core
103,Martin Scorsese
857,Steven Spielberg
98,Ridley Scott
638507,Tim Johnson
400608,Bo Burnham
50014,Tate Taylor
548,Akira Kurosawa
11324,Martin Scorsese
996,Billy Wilder
872,Stanley Donen
439,Federico Fellini
475557,Todd Phillips
529531,Jon Olb
100,Guy Ritchie
3780,Akira Kurosawa
610461,Noé Santillán-López
603,Lilly Wachowski
666,Walter Salles
324786,Mel Gibson
133919,Ingmar Bergman
289,Michael Curtiz
239,Billy Wilder
24382,Mario Monicelli
111,Brian De Palma
411088,Oriol Paulo
92060,John Landis
1422,Martin Scorsese
55823,Mario Monicelli
500,Quentin Tarantino
654299,Pepe Bojórquez
843241,Takayuki Hamana
614,Ingmar Bergman
437068,Jang Hoon
935,Stanley Kubrick
21634,Russell Mulcahy
568160,Makoto Shinkai
426618,Amma Asante
81481,Hwang Dong-hyuk
600,Stanley Kubrick
42229,Ettore Scola
5801,Satyajit Ray
