genre_1,genre_2
Comedy,Drama
Drama,Crime
Drama,Crime
Romance,None
Romance,Comedy
Drama,History
Romance,None
Drama,Crime
Animation,Action
Drama,None
Romance,Animation
Animation,Family
Comedy,Thriller
Animation,Drama
Drama,None
Fantasy,Drama
Drama,Comedy
Animation,Family
Adventure,Comedy
Thriller,Crime
Drama,Action
Animation,Comedy
Adventure,Fantasy
Comedy,Drama
Western,None
Adventure,Comedy
Drama,Romance
Action,Drama
Comedy,Drama
Drama,Crime
Animation,Action
Drama,Crime
History,Drama
Romance,Animation
Horror,Drama
Animation,Drama
Drama,None
Drama,None
Animation,Drama
Drama,None
Music,Drama
Drama,Crime
Action,Drama
Animation,Action
Drama,Science Fiction
Action,Adventure
Fantasy,Animation
Comedy,Family
Drama,Romance
Animation,Action
Drama,None
Comedy,Drama
Animation,Family
Adventure,Action
Drama,None
Drama,Music
Drama,War
Drama,None
Action,Adventure
Adventure,Fantasy
Thriller,Mystery
Animation,Fantasy
Crime,Drama
Comedy,War
Comedy,Drama
Adventure,Fantasy
Romance,Drama
Adventure,Drama
Drama,War
Adventure,Fantasy
Action,Science Fiction
Drama,Fantasy
Comedy,Drama
Crime,Mystery
Crime,Drama
Animation,Comedy
Crime,Drama
Drama,None
Action,Crime
Drama,Western
Drama,None
Animation,Action
Animation,Family
Science Fiction,Adventure
Drama,Comedy
Drama,Thriller
Drama,War
Drama,TV Movie
Animation,Action
Adventure,Comedy
Thriller,Drama
Drama,Music
Drama,None
Comedy,None
Drama,Comedy
Drama,War
Drama,None
Animation,Family
Animation,Drama
Animation,Drama
Science Fiction,Drama
Adventure,Science Fiction
Animation,Thriller
Crime,Drama
Drama,None
Drama,Music
Drama,Thriller
Drama,Thriller
Drama,Comedy
Adventure,Action
Comedy,None
Drama,Comedy
Crime,Drama
Drama,None
Family,Animation
Drama,Family
Drama,Mystery
Drama,None
Drama,Comedy
Romance,Drama
Drama,Romance
Science Fiction,Drama
Comedy,Crime
Fantasy,Drama
Comedy,Drama
Fantasy,Drama
Drama,Romance
Comedy,Drama
Family,Animation
Drama,None
Drama,Comedy
Science Fiction,Drama
Family,Animation
Horror,Thriller
Drama,None
Action,Comedy
Mystery,Romance
Animation,Comedy
Drama,Fantasy
Animation,Family
Drama,Action
Drama,Crime
Drama,History
Romance,Thriller
Comedy,None
Adventure,Action
Action,Comedy
Drama,Family
Drama,None
Drama,History
Mystery,Thriller
Drama,Mystery
Drama,Thriller
Drama,Science Fiction
Adventure,Family
Crime,Drama
Drama,History
Action,Drama
Animation,Fantasy
Comedy,Music
Drama,None
Crime,Drama
Drama,Thriller
Crime,Drama
Comedy,Music
Comedy,Drama
Crime,Thriller
Comedy,None
Comedy,Crime
Drama,None
Comedy,None
Action,Science Fiction
Drama,None
Drama,History
Drama,Romance
Drama,Romance
Comedy,Music
Comedy,Crime
Action,Crime
Drama,Mystery
Horror,Music
Drama,Thriller
Drama,Comedy
Crime,Thriller
Comedy,Drama
Animation,Action
Drama,None
Action,Drama
Drama,Comedy
Drama,History
Animation,Drama
War,Drama
Drama,None
Drama,War
Drama,Romance
Drama,None
Drama,None
Family,Animation
Drama,Western
Drama,None
Action,Adventure
Family,Romance
Horror,Science Fiction
Romance,Drama
Drama,Action
Animation,Drama
Drama,War
Comedy,Drama
Drama,None
Drama,History
Fantasy,Adventure
Drama,Romance
Drama,None
Fantasy,Drama
Family,Adventure
Drama,History
Drama,Fantasy
Crime,Drama
Drama,None
Comedy,None
Drama,Romance
Drama,None
Crime,Drama
Drama,War
Comedy,Drama
Action,Drama
Drama,None
Animation,Drama
Drama,None
Comedy,War
Drama,Animation
Drama,None
Science Fiction,Drama
Animation,Family
Animation,Comedy
Drama,None
Drama,History
Drama,History
Crime,Drama
Action,Crime
Fantasy,Animation
Drama,Romance
Drama,None
Crime,Drama
Family,Fantasy
Comedy,None
Drama,History
Drama,None
Drama,Romance
Action,Adventure
Science Fiction,Mystery
Action,Science Fiction
Animation,Family
Drama,Thriller
Drama,Thriller
Animation,Adventure
Drama,None
Animation,Fantasy
Drama,Science Fiction
Drama,Thriller
Drama,None
Family,Drama
Comedy,Romance
