title,lyrics
12-Bar Original," One, two, three, four! Embed"
"12-Bar Original (Take 2, Edited)",
1822!," This is a Dorsey Burnette number, brother of Johnny Burnette, called ""Lonesome Tears in My Eyes,"" recorded on their very first LP in 1822!  Ha!Embed"
A Beginning,
A Beginning (Take 4) / Don’t Pass Me By (Take 7)," This is the introduction to Ringo's ""Don't Pass Me By"" Take 4   I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?  I hear the clock a'ticking On the mantle shelf See the hands a'moving But I'm by myself I wonder where you are tonight And why I'm by myself I don't see you Does it mean you don't love me any more? Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry  I'm sorry that I doubted you I was so unfair You were in a car crash And you lost your hair You said that you would be late About an hour or two I said that's alright I'm waiting here Just waiting to hear from you  Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?  Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry  I'm waiting for you, honey Hurry up to me I don't want you to pass me by I don't want you to make me cry I want you to make me happy Happy, happy 'Cause that's what I want This is so friendly This is so friendly This is so friendlyEmbed"
Across the Universe," Words are flowing out like endless rain into a paper cup They slither wildly as they slip away across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva48Embed"
Across the Universe (Take 2)," Words are flowing out like endless rain into a paper cup They slither while they pass, they slip away across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Jai Guru Deva Jai Guru Deva Jai Guru DevaEmbed"
Across the Universe (Take 6)," Words are flowing out like endless rain into a paper cup They slither while they pass, they slip away across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe  Jai Guru Deva, Om Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world Nothing's gonna change my world  Jai Guru Deva Jai Guru Deva Jai Guru DevaEmbed"
Act Naturally," They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about a man that's sad and lonely And all I gotta do is act naturally  Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well  Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally  We'll make the scene about a man that's sad and lonely And begging down upon his bended knee I'll play the part and I won't need rehearsing All I have to do is act naturally  Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally4Embed"
A Day in the Life," I read the news today—oh, boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords  I saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book  I'd love to turn you on (Seven, Eight, Nine, Ten) *alarm clock rings* Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream Ahh-ah-ah-ah Ah-ah-ah, ah-ah-ahh  I read the news today—oh, boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall  I'd love to turn you on *whistle* *studio chatter*70Embed"
A Day in the Life (Take 1 with Hums)," Geoff Emerick: ""In the Life Of"", Take 1 John: Dab the mic on the piano, and quite low, this, just keep it in like, maracas you know. You know those old pianos John:  Okay we're on. Mouth John: Sugarplum fairy, sugarplum fairy  I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well I just had to laugh I saw the photograph  He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords  I saw a film today, oh, boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on Three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty   I read the news today, oh boy Four-thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on  Three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty UmmEmbed"
A Day in the Life (Take 2),"Take 2! John: 1, 2, 3, 4....  I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords  I saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on  I read the news today, oh boy 4,000 holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on Embed"
"A Day In the Life (Takes 1, 2, 6 and Orchestra)"," ""Dub the mic on the piano quite low this Just keeping it like maracas, you know You know those old pianos"" ""Ok, we're on"" ""Sugarplum fairy, sugarplum fairy"" I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords I saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on ""Five, six, seven, eight, nine Ten, eleven, twelve, thirteen, fourteen Fifteen, sixteen, seventeen, eighteen, nineteen Twenty"" Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Made my way upstairs and had a smoke And everybody spoke and I went into a dream ""Oh shit"" I read the news today, oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you ""See the worst thing about doing this Doing something like this Is I think that at first people sort of are a bit suspicious 'You know, come on, what are you up to?'Embed"
A Hard Day’s Night," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home, everything seems to be right When I'm home feeling you holding me tight Tight, yeah!  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!  So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home everything seems to be right When I'm home feeling  you holding me tight Tight, yeah!  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I feel alright You know I feel alright17Embed"
