Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year
Across the Universe,Let It BePast Masters,LennonMcCartney,Lennon,1969
Act Naturally,Help!,Johnny RussellVoni Morrison,Starr,1965
All I've Got to Do,With the Beatles,LennonMcCartney,Lennon,1963
All My Loving,With the Beatles,LennonMcCartney,McCartney,1963
All Together Now,Yellow Submarine,LennonMcCartney,McCartney(with Lennon),1969
All You Need Is Love,Magical Mystery Tour,LennonMcCartney,Lennon,1967
And I Love Her,A Hard Day's Night,LennonMcCartney,McCartney,1964
And Your Bird Can Sing,Revolver,LennonMcCartney,Lennon,1966
Anna (Go to Him),Please Please Me,Arthur Alexander,Lennon,1963
Another Girl,Help!,LennonMcCartney,McCartney,1965
Any Time at All,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964
Ask Me Why,Please Please Me,LennonMcCartney,Lennon,1963
Baby It's You,Please Please Me,Burt BacharachMack DavidLuther Dixon,Lennon,1963
"Baby, You're a Rich Man","Magical Mystery Tour(B-side of ""All You Need Is Love"")",LennonMcCartney,Lennon,1967
Baby's in Black,Beatles for Sale,LennonMcCartney,LennonMcCartney,1964
Back in the U.S.S.R.,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
Bad Boy,Past Masters,Larry Williams,Lennon,1965
The Ballad of John and Yoko,Past Masters,LennonMcCartney,Lennon,1969
Because,Abbey Road,LennonMcCartney,LennonMcCartneyHarrison,1969
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967
Birthday,"The Beatles (""White Album"")",LennonMcCartney,McCartney(with Lennon),1968
Blackbird,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
Blue Jay Way,Magical Mystery Tour,Harrison,Harrison,1967
Boys,Please Please Me,Luther DixonWes Farrell,Starr,1963
Can't Buy Me Love,A Hard Day's Night,LennonMcCartney,McCartney,1964
Carry That Weight,Abbey Road,LennonMcCartney,"McCartney(with Lennon,Harrison,and Starr)",1969
Chains,Please Please Me,Gerry GoffinCarole King,Harrison,1963
Come Together,Abbey Road,LennonMcCartney,Lennon,1969
The Continuing Story of Bungalow Bill,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with Yoko Ono),1968
Cry Baby Cry,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with McCartney),1968
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,LennonMcCartney,1967
Day Tripper,"Past Masters(Double A-side with ""We Can Work It Out"")",LennonMcCartney,LennonMcCartney,1965
Dear Prudence,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
Devil in Her Heart,With the Beatles,Richard Drapkin,Harrison,1963
Dig a Pony,Let It Be,LennonMcCartney,Lennon,1970
Dig It,Let It Be,LennonMcCartneyHarrisonStarkey,Lennon,1970
Dizzy Miss Lizzy,Help!,Larry Williams,Lennon,1965
Do You Want to Know a Secret,Please Please Me,LennonMcCartney,Harrison,1963
Doctor Robert,Revolver,LennonMcCartney,Lennon,1966
Don't Bother Me,With the Beatles,Harrison,Harrison,1963
Don't Let Me Down,"Past Masters(B-side of ""Get Back"")",LennonMcCartney,Lennon,1969
Don't Pass Me By,"The Beatles (""White Album"")",Starkey,Starr,1968
Drive My Car,Rubber Soul,LennonMcCartney,McCartney(with Lennon),1965
Eight Days a Week,Beatles for Sale,LennonMcCartney,LennonMcCartney,1964
Eleanor Rigby,Revolver,LennonMcCartney,McCartney,1966
The End,Abbey Road,LennonMcCartney,McCartney,1969
Every Little Thing,Beatles for Sale,LennonMcCartney,Lennon(with McCartney),1964
Everybody's Got Something to Hide Except Me and My Monkey,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
Everybody's Trying to Be My Baby,Beatles for Sale,Carl Perkins,Harrison,1964
Fixing a Hole,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967
Flying,Magical Mystery Tour,LennonMcCartneyHarrisonStarkey,Instrumental,1967
The Fool on the Hill,Magical Mystery Tour,LennonMcCartney,McCartney,1967
For No One,Revolver,LennonMcCartney,McCartney,1966
For You Blue,Let It Be,Harrison,Harrison,1970
From Me to You,Past Masters,LennonMcCartney,Lennon(with McCartney),1963
Get Back,Let It BePast Masters,LennonMcCartney,McCartney,1969
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967
Girl,Rubber Soul,LennonMcCartney,Lennon,1965
Glass Onion,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
Golden Slumbers,Abbey Road,LennonMcCartney,McCartney,1969
Good Day Sunshine,Revolver,LennonMcCartney,McCartney,1966
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967
Good Night,"The Beatles (""White Album"")",LennonMcCartney,Starr,1968
Got to Get You into My Life,Revolver,LennonMcCartney,McCartney,1966
Happiness Is a Warm Gun,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
A Hard Day's Night,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964
"Hello, Goodbye",Magical Mystery Tour,LennonMcCartney,McCartney,1967
Help!,Help!,LennonMcCartney,Lennon,1965
Helter Skelter,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
