id,actor_1,actor_2,actor_3,actor_4,actor_5
19404,Shah Rukh Khan,Kajol,Amrish Puri,Anupam Kher,Satish Shah
278,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown
238,Marlon Brando,Al Pacino,James Caan,Robert Duvall,Richard S. Castellano
724089,Melanie Zanetti,Giulio Berruti,James Andrew Fraser,Margaux Brooke,Agnes Albright
761053,Melanie Zanetti,Giulio Berruti,Rhett Wellington,James Andrew Fraser,Margaux Brooke
424,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall
696374,Melanie Zanetti,Giulio Berruti,Kurt McKinney,Agnes Albright,Margaux Brooke
240,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale
283566,Megumi Ogata,Yuko Miyamura,Megumi Hayashibara,Maaya Sakamoto,Kotono Mitsuishi
255709,Sol Kyung-gu,Uhm Ji-won,Lee Re,Kim Sang-ho,Kim Hae-sook
372058,Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita,Aoi Yuki,Nobunaga Shimazaki
129,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitō,Yasuko Sawaguchi
496243,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam
632632,Takuya Eguchi,Masatomo Nakazawa,Shougo Yano,Yuma Uchida,Shintaro Asanuma
389,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman
497,Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell
644479,Raúl Santana,Carlos Alcantara,Biassini Segura,Mariana Treviño,Eugenio Derbez
441130,Honor Kneafsey,Eva Whittaker,Sean Bean,Simon McBurney,Tommy Tiernan
532067,Jun Fukushima,Rie Takahashi,Sora Amamiya,Ai Kayano,Yui Horie
680,John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames
155,Christian Bale,Heath Ledger,Michael Caine,Gary Oldman,Aaron Eckhart
572154,Kaito Ishikawa,Asami Seto,Inori Minase,Yurika Kubo,Atsumi Tanezaki
122,Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen,Sean Astin
13,Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson,Sally Field
429,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli
40096,Matheus Nachtergaele,Selton Mello,Virginia Cavendish,Rogério Cardoso,Lima Duarte
11216,Philippe Noiret,Jacques Perrin,Marco Leonardi,Salvatore Cascio,Agnese Nano
346,Toshirō Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki
637,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Amerigo Fontani
